numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 04142-2025,v1.0,Modifican el Reglamento para la Realización Temporal de Actividades en Modelos Novedosos y el TUPA N° 202.,Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT",24/11/2025,19/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6skIZXJhJKn8SgPSKWiPaWsAUGDbI9D+SG+My3HMuN7zIR5bZ5zUOZtvahOo8ExAV+/2XDS2ug8KmD9k+EaZsOMj+wPyuxO+tsPlYTqGlq6bQ==
Resolución SBS N° 2155-2025,v1.0,"Modifican el Reglamento de Acceso y Mantenimiento de inscripción en el Registro de las Asociaciones de Fondos Regionales o Provinciales contra Accidentes de Tránsito y el Texto Único de Procedimientos Administrativos ¿ TUPA de la Superintendencia de Banca, Seguros y AFP",Resolución,Vigente,AFOCAT,23/06/2025,18/06/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uIZjUoIrNgOC1+n9IvkQfNJYNWwTql65l3aLm2rgjW1BSGsDMUuDWB28YpfiC9dYWnvFbPgSvweNrdkduD7GGpi1np6QRohjNS4HLh1+UBiQ==
Resolución SBS N° 3141-2024,v2.0,"Aprueban la Norma que regula los servicios que brinda la SBS a los ciudadanos y la atención de denuncias contra las empresas supervisadas, y modifican el TUPA de la Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensiones.",Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT, LA/FT_SBS",09/09/2024,06/09/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6twbgP3zQ3E9CWdAI/3FIkK1k/cROb8TnK1a/eagQZfpILdVxJnVpEornpPLnfbGZCfhZU8c1TzD/MnSwzngefw
Circular AFOCAT-15-2024,v1.0,Modifican el párrafo 5.2 de la Circular N° AFOCAT-14-2021,Circular,Vigente,AFOCAT,24/01/2024,19/01/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sF0xoYOVXIG0dOWzLYmV1I4QqZmLgtV6EQFiZDPZwoIOuZt9N7arlslIoaKjQCsMhLIscRAz1wZJcZXCRaDHF3CKMN8BnDV/3WbLvQwkpqliDteUxMoiuwRR5S3cH7qSM=
Oficio Múltiple N° 55977-2022-SBS,v1.0,Envío de bases de datos mediante plataforma electrónica - Central CAT,Oficio múltiple,Vigente,AFOCAT,,29/12/2022,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tMZgJDBRurcUJYtr+J8awQTAb8cqNomKaXw1PDCas13M6JKJKdupVwaHH3K2yusAYgLOf1hbNDAF/LDltbmNu9Vf4IrMxXbCdZdexkf1MeDw==
Oficio Múltiple N° 62876-2021-SBS,v1.0,Obligación de mantener actualizada la Página Web de la AFOCAT con la información requerida en la normativa vigente,Oficio múltiple,Vigente,AFOCAT,,30/12/2021,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6teLQ1MRQGJsc9k6xUkbN69G1tKN4qx2Tng1xeisYHaXHzw62WKEIzqMjFJ2ZyPKLPWQQJ1bSGfvS2qS/n47bv562Qtdvtnl+daGbhoQZ6oRg==
Oficio Múltiple N° 56529-2021-SBS,v1.0,Documentación para acreditar la implementación del Sistema Informático,Oficio múltiple,Vigente,AFOCAT,,19/11/2021,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6td60hiMdJBJor3c4lz+VjzIm8BYwgigsUzpp/1qhJ5qC2OrsEjA3w316cur21bIakZOVBa44JkGP0SITwwTQNV6ps3uOXmah/7WRYK6RFQ1Q==
Resolución SBS N° 2963-2021,v1.0,Reglamento para la atención integral de los accidentes de tránsito con cobertura que otorgan las AFOCAT,Resolución,Vigente,AFOCAT,05/10/2021,04/10/2021,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6t3b+3clsan8HfghlePlHWq+0W1I9lB9gF04Gw8rUSERSiAVhUTVE4QFOwr4X4xyuKtVvuvBuSHzC1vXNoDXRwfLnS0gX0+h7VKtBSt/n2+hQ==
Resolución SBS N° 2429-2021,v2.0,Aprueban el Reglamento para la realización temporal de actividades en modelos novedosos y modifican el Reglamento para la Gestión del Riesgo Operacional.,Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT",20/08/2021,19/08/2021,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vPhVVY/Pv4VF4ETPoJioLe4GjSEXi5rNyS41HE8RE4SLGPLZuLOPH6FD6msZTAp1XG+BNrPlz2ehxjJF37CD/LZpsKyWg9lwU5ZuVn/IZpTsLGjjQRdNp5cJTfWgY12tPFnSUHLuQfrpALVL7NHJkD
Circular AFOCAT-14-2021,v2.0,Circular que establece la Central de Riesgos CAT,Circular,Vigente,AFOCAT,26/07/2021,23/07/2021,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vadMWWkC3WpcFjgyCG53zpKkfZRnjMe/8kO75qehYmvlyG+himKKxLe07uQ2GLfGMQaPxnzs3HV95478VuSWKyZicw3PFV4VbC5J6GGIFCJIrqEfacJAtp5ToqYrg1fB0=
