numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 01873-2026,v1.0,"Modifican el Reglamento General de las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público, aprobado por la Resolución SBS N° 480-2019 y sus modificatorias",Resolución,Vigente,COOPAC,17/07/2026,16/07/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vf1sJavO7sPjN72Q8BR6Fv9ILutjheX5IoXcpys7yb4TN4ijNiUelml5e+YESTFa2WtBHdEBan4J16oUFahoNVU5217ifxR9USbTLQM3lO0Q==
Resolución SBS N° 01690-2026,v1.0,"Modifican los Manuales de Contabilidad para las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público de Nivel 1, Nivel 2 y Nivel 3.",Resolución,Vigente,COOPAC,26/06/2026,24/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uJw+AElkZUSplk7tsK8fC1nsmkt+5hPnIR446y16pqBTykR451Yo1F0B8jo43KhKEWO/gL0wzTKOvM70g5jsfQ/dCR06DQhMjR2nykWQeskg==
Resolución SBS N° 01586-2026,v1.0,Aprueban el Reglamento para la implementación y funcionamiento del Mecanismo de Identificación de Titularidades Financieras e incorporan infracciones en el Anexo 2 del Reglamento de Infracciones y Sanciones.,Resolución,Vigente,"SF, COOPAC, LA/FT_UIF",10/06/2026,09/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uWRTt8kn5i3WlxuzuvDiSFQdk3Z8wGZ0SUGxHzxfl+Sc5WDQ4BF7nbAKKiWeVKblnO0QENUZGB2Iqr6SZtwegssTJy+fzqSbL5xuUDAokijg==
Resolución SBS N° 1029-2026,v1.0,Modifican el Reglamento de Infracciones y Sanciones de la Superintendencia de Banca Seguros y Administradoras Privadas de Fondos de Pensiones.,Resolución,Vigente,"SF, SS, SPP, COOPAC, LA/FT_SBS",10/04/2026,08/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vJTDguJSaJkiOj1Y4yvEQV+VQ1PQuvvqxOFlb6HVGCmPUSTkxh6Che6kn7TPYq+TkIi7tJzhrIEdsYGIn0fBdFct3RJ6PzGHaCvqlGock84Q==
Resolución SBS N° 04142-2025,v1.0,Modifican el Reglamento para la Realización Temporal de Actividades en Modelos Novedosos y el TUPA N° 202.,Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT",24/11/2025,19/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6skIZXJhJKn8SgPSKWiPaWsAUGDbI9D+SG+My3HMuN7zIR5bZ5zUOZtvahOo8ExAV+/2XDS2ug8KmD9k+EaZsOMj+wPyuxO+tsPlYTqGlq6bQ==
Resolución SBS N° 3763-2025,v1.0,"Renominan y modifican el ¿Procedimiento Operativo para disponer de hasta el 25% del Fondo de Pensiones de los afiliados del Sistema Privado de Pensiones destinado a la compra de un primer inmueble¿, aprobado por Resolución SBS N° 3663-2016",Resolución,Vigente,"SF, SPP, COOPAC",17/10/2025,16/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vOLfBAuLw5EBwLVXPPIGiyO/WtfF/ZkXXJiClVBzhi+uXSxKlDWF9eClIjSDrqx2Jewx1j5rsJpa8K8zNv9c4saumQ+sWIG9wlGUPrwlQGlg==
Resolución SBS N° 03727-2025,v1.0,Modifican el Reglamento General de las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público,Resolución,Vigente,COOPAC,16/10/2025,15/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6utDJ3s2MgO5kWGwA7mzPwaz63FYac8/VYc//OYweTIkEWvDhobw+EqOYj3iEctZuO9Y85O67zWJ7u4QGhmYmkrGFcqH2L+yI3EYkTkw+Yg6g==
Resolución SBS N° 3625-2025,v1.0,Modificación del artículo 14 del Estatuto del Fondo de Seguro de Depósitos Cooperativo,Resolución,Vigente,COOPAC,,09/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6unjTj7az91Ln8TPSBCxuBdHwlmDrisvXbD6kV8kFI5QubsKzMhDLoTZ7mRT3cprMhB1O9iuEV6scxuTC3flzb/Q3BwgRBp79Ayl7IQjinF7w==
Resolución SBS N° 02926-2025,v1.0,"Modifican el Reglamento General de las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público y los Manuales de Contabilidad para las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público, de Nivel 1, Nivel 2 y Nivel 3",Resolución,Vigente,COOPAC,21/08/2025,20/08/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sEHgpL/CsAYs3D4OYPIAUKhW2VXFPLqOwyHffrSE/oeP8BzdHRrGNCU7kgCKJBc5k5gdoCTdf/XPJzKDlUilt3XDvhWbWJXCtz6R+GPlNL5A==
Resolución SBS N° 2573-2025,v1.0,Modifican el Reglamento del Fondo de Seguro de Depósitos Cooperativo (Resolución SBS N° 5061-2018),Resolución,Vigente,COOPAC,24/07/2025,21/07/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uf9rzjnYKWt94VaAwCoua/2h44dg5mGcywPtH54db0DZ4/nho8hjlgjgLWPjGESYn4Kl8YGRv8oVB1EoyIPxUD
Resolución SBS N° 02334-2025,v1.0,"Modifican Manuales de Contabilidad para Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público de Nivel 2 y Nivel 3, y dictan otras disposiciones",Resolución,Vigente,COOPAC,03/07/2025,01/07/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vSt9L5Zl4vFWULdyg2rjIU5O+pI5tF93XVoRQk64gbjb9D6xS08ZQemvTbO0XL8Im2f1+M1nYGHjirUrbUKcORFI7PJqxEiFyZSgPU49gtHg==
Resolución SBS N° 01132-2025,v1.0,"Modifican el Reglamento de Auditoría Interna, el Reglamento de Auditoría Interna para las Cooperativas de Ahorro y Crédito No Autorizadas a Operar con Recursos del Público y la Circular N° G-161-2012 67.",Resolución,Vigente,"SF, SS, SPP, COOPAC",26/03/2025,24/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v92hDDTNESSmP2qva2qzNfolMjTsaY/qm8vv6WJjuc8Vfmv0jsUjxsSOm+3+o+pxdefZ5wKA8KSa8Wnury7NGVaxggTvNZWIq9jzHx2s2pYQ==
Resolución SBS N° 458-2025,v1.0,Modificación del Reglamento General de las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público,Resolución,Vigente,COOPAC,11/02/2025,07/02/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6s17WVdTQDNVmmLgK3p+DpgmtJm6ewv5tsOp1xeivsN8tUGogRQtpPAkLIqTyIqTniyOU76JT3VHsr2FpbSCPgsHekUNRnN5BU0uYLQ4y0K0w==
Oficio Múltiple N° 76356-2024,v1.0,Reprogramación de créditos otorgados en el marco del Fondo de Apoyo Empresarial a las MIPYME del Sector Turismo (FAE-TURISMO),Oficio múltiple,Vigente,COOPAC,,26/12/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6t6Mq/jjsfRz/PyHfuEqdnOBSJxMzQYm94aV0sqBZB03/BedXR054tt9mz39Gwpu4fybiauU50vgL3MJ9B9cQ7urasqCE3E8H3bb5MAFwwwkQ==
Resolución SBS N° 04173-2024,v1.0,Modifican el Reglamento General de las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público,Resolución,Vigente,COOPAC,11/12/2024,05/12/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uZufAFGkMyXZrLIHIEASwKHnAg2mEUZy6Y0T9+O/qfaIwxQRYE733IpLkETV2Hj0SFvyC7o+WjEoJH5Ma9/FL7rPhDvacz2EqeTITxh+tGeA==
Resolución SBS N° 3894-2024,v1.0,Modifican el Reglamento del Fondo de Seguro de Depósitos Cooperativo,Resolución,Vigente,COOPAC,20/11/2024,13/11/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vXZgPlgIK1mM5dhnKj1jllvcNrJWqkv9a4qv6U+cwnJ7hJOczj1Yvv/jUWbiF+7+pHFAPj0tp16nhTB83Fsyl2t6Kgqhn9+2qHrFez0YZP/g==
Resolución SBS N° 03463-2024,v1.0,"Establecen que en el caso de las COOPAC, a la parte de los créditos reprogramados en el marco del DU N° 012-2024 que cuentan con la cobertura del Fondo de Apoyo Empresarial a la MIPYME del Sector Turismo (FAE-TURISMO), le resulta aplicable el mismo tratamiento dispuesto a la parte de los créditos reprogramados que cuentan con la cobertura del Fondo de Apoyo Empresarial a la MYPE del Sector Turismo, a través de la Resolución SBS N° 2364-2020 y del Oficio Múltiple N° 28681-2020-SBS.",Resolución,Vigente,COOPAC,01/10/2024,30/09/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vfUH3jINSTHxDM0Hy2tEzLoicWBGJ+6jK5LB6HHl+iRy0ZCAGkncFdStoH2WDTUlCaA0iajcL+7hhSqqn9vAIWc4I4jYV/NMYGnuJCdphjvA==
Resolución SBS N° 3141-2024,v2.0,"Aprueban la Norma que regula los servicios que brinda la SBS a los ciudadanos y la atención de denuncias contra las empresas supervisadas, y modifican el TUPA de la Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensiones.",Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT, LA/FT_SBS",09/09/2024,06/09/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6twbgP3zQ3E9CWdAI/3FIkK1k/cROb8TnK1a/eagQZfpILdVxJnVpEornpPLnfbGZCfhZU8c1TzD/MnSwzngefw
Resolución SBS N° 02538-2024,v1.0,Modificación del Reglamento del Fondo de Seguro de Depósitos Cooperativo y del Estatuto del Fondo de Seguro de Depósitos Cooperativo,Resolución,Vigente,COOPAC,19/07/2024,17/07/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vt7cDoz7SOtWvrAO+z4D/Hcl063XcRYi0FdI7D5hpw5m93/LOJ+LM7NdgiKTLZNi9MBoA5EPanEu7uyAXVrdOQc8fd5osiwSvlNIyIhkJ+tg==
Resolución SBS N° 2490-2024,v1.0,Aprueban Normas Complementarias en materia de bienes y/o servicios provistos por terceros en las Coopac,Resolución,Vigente,COOPAC,15/07/2024,12/07/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vKLcj3pZy6JTjvKWL6b1YLW4uGezk3xIFr6xVc8ZSPuPcCLn5ZsThQka9zTvlpiTWRp09UdfZo1dMYdYVvcpRxIBfJ2r6shdSI3smeV4/9cg==
Resolución SBS N° 00976-2024,v1.0,"Modificar los Manuales de Contabilidad para las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público, de Nivel 2 y Nivel 3 (Incorporándose el Anexo 6-A Reporte Crediticio de Deudores)",Resolución,Vigente,COOPAC,18/03/2024,15/03/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sVN5oML/VU1OCgLyqWebdRxqSR028qdSmxj2vzQnaFXlpKgMzWOnAVCwQshWGcMNArxqM/gRoW5GiLFmP56ILMDMOJ0/O7kmZ0BsISZ9Ew3g==
