numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 1400-2026,v1.0,"Modifican el Título VII del Compendio de Normas Reglamentarias del SPP, aprobado por Resolución N° 232-98-EF/SAFP, referido a Prestaciones; y dictan otras disposiciones (vigente a partir del 3 de agosto de 2026)",Resolución,Vigente,SPP,15/05/2026,14/05/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tSqEHaolChBMxaM/ITOM8cSJqDSu/Ec2m8lBpagxGI52Z7Az2Paw5ChRibB56y1jaWOzwqY5OPXB02+5BMZPjym4qL10/BJhrp/liRTUv6jg==
Resolución SBS N° 1120-2026,v1.0,"Aprueban el Reglamento Operativo para el otorgamiento de la Pensión de Jubilación para trabajadores pesqueros en el Sistema Privado de Pensiones (SPP), y la Pensión de Rescate Complementaria (PRC) de afiliados al SPP que pertenezcan al Régimen Especial de Seguridad Social para los trabajadores y pensionistas pesqueros (Vigente a partir del 01 de agosto de 2026)",Resolución,Vigente,SPP,17/04/2026,15/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uQoUJjIb/PJvOxsIXa3aQ/pMrEYUqw/8bjlVGlYwtFs9Ktmhw//MP2pSwjm3Vt0etugSXRXIYCzdRDSPRtVRG3cYW5xJsg7Pu/wNBGBoNIRA==
Resolución SBS N° 01114 -2026,v1.0,Manual de Evaluación y Calificación del Grado de Invalidez (Edición 2026),Resolución,Vigente,SPP,16/04/2026,13/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v76tyz9e1q8J6PIPJ41Vba8/WxfrzQOedIE0+7OvJj8wskN3AGJkDZHajib5vJ0qq0Kl2YLNauTfXBsm9qbtUYEwEoEUAZxkUHow+4aMDGMFAjuqVY7YAKJvidEvj//5mWG9mheTanTwljZ9bENiBD
Resolución SBS N° 1029-2026,v1.0,Modifican el Reglamento de Infracciones y Sanciones de la Superintendencia de Banca Seguros y Administradoras Privadas de Fondos de Pensiones.,Resolución,Vigente,"SF, SS, SPP, COOPAC, LA/FT_SBS",10/04/2026,08/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vJTDguJSaJkiOj1Y4yvEQV+VQ1PQuvvqxOFlb6HVGCmPUSTkxh6Che6kn7TPYq+TkIi7tJzhrIEdsYGIn0fBdFct3RJ6PzGHaCvqlGock84Q==
Resolución SBS N° 111-2026,v1.0,"Modifican la Circular N° S-668- 2018, AFP-166-2018, el Reglamento de requerimientos patrimoniales de las empresas de seguros y reaseguros y el Reglamento de la Reserva Técnica de Siniestros.",Resolución,Vigente,"SS, SPP",19/01/2026,15/01/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uvWZj1EzIl1JJu68GDaDV7FreU+6nRUmWEX7Oa+xLY31cEPwUzxNJXV+DoILJA0kYe64w36g6WGxcznCuKe6ukkuajcYkz7nQgKUiu6MArsLclIqN45ULr8kx5H4doYezd88hQvdEQw8g0WxMt3fqB
Circular AFP-186-2026,v1.0,Actualización del capital mínimo de las AFP para el año 2026,Circular,Vigente,SPP,15/01/2026,14/01/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6snVuuI4o2HBO2zOLG2babnKDuk5ldwSgQ4EPcDVOGkpj3TMzx0LN69SJ60+91fGQW/ZFOdmW6/hj1EluvhigKN3/BtVdaqbasXqo6JXA2wSw==
Resolución SBS N° 4382-2025,v1.0,"Modificación del artículo 11 de las Normas para la solución de reclamos presentados contra las entidades participantes del Sistema Privado de Pensiones, aprobadas mediante la Resolución SBS Nº 3948-2015",Resolución,Vigente,SPP,18/12/2025,15/12/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vN/1UAlwR9peC7yw9KuZ7dKO01Ac9WfkLmnpCJBRGXWrDl2mRT43g2bebFHXWTYow0yHzzP/jNKm4ms1aggl/i
Resolución SBS N° 4320-2025,v1.0,"Modifica los Reglamentos de Gestión de Reclamos y Requerimientos y de Comisiones y Gastos del Sistema Financiero, y la Norma que regula los servicios que brinda la SBS a los ciudadanos y la atención de denuncias",Resolución,Vigente,"SF, SS, SPP",06/12/2025,04/12/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tc++IUihQS3qjMZWVxetHNiewwCYNGPeonLWGWT8IDf7j95ec1nxJNHPFJrSlKJQFMLlzCjqHGNu0ur+45ZVCD
Resolución SBS N° 4225-2025,v1.0,"Renominan el Título II, así como la Única Disposición Complementaria Final por Primera Disposición Complementaria Final, e incorporan el Capítulo V y la Segunda Disposición Complementaria Final al Título II del Compendio de Normas de Superintendencia Reglamentarias del SPP, aprobado por Resolución N° 054-98-EF/SAFP y sus modificatorias, referidas a las autorizaciones de organización y funcionamiento de las Administradoras Privadas de Fondos de Pensiones; y dictan otras disposiciones.",Resolución,Vigente,"SF, SS, SPP",27/11/2025,25/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sp1bzzovDsaZcxV0phb1zhYyKNKUk94CBxF1Pt76Vu4eL8KBHmdGAtG9gfMmoEimVHOn1MdRtb/lWaVQ8qzAvU1iK8dIFhTn7LUXpUz04BnQ==
Resolución SBS N° 04142-2025,v1.0,Modifican el Reglamento para la Realización Temporal de Actividades en Modelos Novedosos y el TUPA N° 202.,Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT",24/11/2025,19/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6skIZXJhJKn8SgPSKWiPaWsAUGDbI9D+SG+My3HMuN7zIR5bZ5zUOZtvahOo8ExAV+/2XDS2ug8KmD9k+EaZsOMj+wPyuxO+tsPlYTqGlq6bQ==
