numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 01786-2026,v1.0,"Modifican el Reglamento para la clasificación de empresas del sistema financiero y de empresas de seguros, aprobado por la Resolución SBS N° 18400-2010",Resolución,Vigente,"SF, SS",14/07/2026,09/07/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uJGU3RPSfOryVLPFVdnvzJW889c4gh6rBa45EdOujaFEXMyiHG+ubzqLXj1mLFLqcvoyRqfIkPard0HzD6ovSwqQj4am+OkUhOOIMAi/zdNQ==
Circular G-233-2026,v1.0,Actualización del capital social mínimo correspondiente al trimestre julio - setiembre de 2026,Circular,Vigente,"SF, SS",09/07/2026,06/07/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6u/s4r0yOMyNmihPN9/TGwvKVgXbBQ0IKsCVyqlovbsflrAVm9JXzfOYCk2z5pIM4ZEFawqJ87jXqimg9feyqubY/OT89Ys79lFUMTHmr6SNQ==
Resolución SBS N° 01681-2026,v1.0,"Modifican el Reglamento para la Supervisión Consolidada de los Conglomerados Financieros y Mixtos, aprobado mediante Resolución SBS Nº 11823-2010 y sus modificatorias",Resolución,Vigente,"SF, SS",30/06/2026,23/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vd6f2MlsKQumy6/YnG4U0N5l3T7MoX10JDelo4vnuZLxLICjR7Oyk2la0+iHggfZpNXIE7mZNd8FEgL5YdWE1tS4KArKNcmotI/kOOWNYNxw==
Resolución SBS N° 1029-2026,v1.0,Modifican el Reglamento de Infracciones y Sanciones de la Superintendencia de Banca Seguros y Administradoras Privadas de Fondos de Pensiones.,Resolución,Vigente,"SF, SS, SPP, COOPAC, LA/FT_SBS",10/04/2026,08/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vJTDguJSaJkiOj1Y4yvEQV+VQ1PQuvvqxOFlb6HVGCmPUSTkxh6Che6kn7TPYq+TkIi7tJzhrIEdsYGIn0fBdFct3RJ6PzGHaCvqlGock84Q==
Circular G-232-2026,v1.0,Actualización del capital social mínimo correspondiente al trimestre abril - junio de 2026,Circular,Vigente,"SF, SS",09/04/2026,08/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tRywdZOkMNR4LJFOet3E8dBEAzC0rxd0TnLhv4rxdNsz7O7oZ6FuXmxf5TyVbx+FSVblRj1+Z1xdNImtN9JnUL9f0NPipqB37HXVd+0Bp3ug==
Resolución SBS N° 0879-2026,v1.0,"Modifican el Reglamento para la Supervisión Consolidada de los Conglomerados Financieros y Mixtos, aprobado por la Resolución SBS N° 11823-2010 y sus modificatorias",Resolución,Vigente,"SF, SS",25/03/2026,24/03/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vrfseCuBQVZcMGZuap9CBeIo5ct8WihOFb1DmL3rup0/414wWCT7nlM2sOt/Tnuud/ayQyCcpBlXSrFoPq09sv8CYzDD0Lk/8MTda0LpE58Q==
Resolución SBS N° 488-2026,v1.0,Modifican el Reglamento de autorización de empresas y representantes de los Sistemas Financiero y de Seguros.,Resolución,Vigente,"SF, SS",19/02/2026,18/02/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v7I0+z8OACgNHcUpGIQ11LricWc/d3eC9CGm6Um603NLbKyIc9CWW5bce8d69ZACWy2iO9gxetdEJF59BKny766vJwGcd5I/Vve/55UNbXDQ==
Resolución SBS N° 111-2026,v1.0,"Modifican la Circular N° S-668- 2018, AFP-166-2018, el Reglamento de requerimientos patrimoniales de las empresas de seguros y reaseguros y el Reglamento de la Reserva Técnica de Siniestros.",Resolución,Vigente,"SS, SPP",19/01/2026,15/01/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uvWZj1EzIl1JJu68GDaDV7FreU+6nRUmWEX7Oa+xLY31cEPwUzxNJXV+DoILJA0kYe64w36g6WGxcznCuKe6ukkuajcYkz7nQgKUiu6MArsLclIqN45ULr8kx5H4doYezd88hQvdEQw8g0WxMt3fqB
Resolución SBS N° 00085-2026,v1.0,"Modifican el Plan de Cuentas para las Empresas del Sistema Asegurador, aprobado por la Resolución SBS Nº 348-95",Resolución,Vigente,SS,15/01/2026,14/01/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tRAjw1RhcOnqnf2+xYd+bR4SltyFrIBQiB19j28MLpG2SrR8vycNW3yMSamx+8gk1Rn4FAneeM+oJaDDtA6jeJNB2zIGp4Pmm/mDOwfL7q5w==
Circular G-231-2026,v1.0,Actualización del capital social mínimo correspondiente al trimestre enero - marzo de 2026,Circular,Vigente,"SF, SS",14/01/2026,12/01/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vQythd1DVFauUKR8a+LfzcTswBA4OwciudfoXk8I5T81JB8mIHIVJZTztGIGIrCvQB3vxdTJpvsz2+Zy0iRj1lMMyrXrn7/VSJvwgqZ7XN7Q==
