numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 01786-2026,v1.0,"Modifican el Reglamento para la clasificación de empresas del sistema financiero y de empresas de seguros, aprobado por la Resolución SBS N° 18400-2010",Resolución,Vigente,"SF, SS",14/07/2026,09/07/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uJGU3RPSfOryVLPFVdnvzJW889c4gh6rBa45EdOujaFEXMyiHG+ubzqLXj1mLFLqcvoyRqfIkPard0HzD6ovSwqQj4am+OkUhOOIMAi/zdNQ==
Circular G-233-2026,v1.0,Actualización del capital social mínimo correspondiente al trimestre julio - setiembre de 2026,Circular,Vigente,"SF, SS",09/07/2026,06/07/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6u/s4r0yOMyNmihPN9/TGwvKVgXbBQ0IKsCVyqlovbsflrAVm9JXzfOYCk2z5pIM4ZEFawqJ87jXqimg9feyqubY/OT89Ys79lFUMTHmr6SNQ==
Resolución SBS N° 01741-2026,v1.0,Modifican el Reglamento de Gestión de Conducta de Mercado del Sistema Financiero y el Reglamento de Comisiones y Gastos del Sistema Financiero,Resolución,Vigente,SF,02/07/2026,01/07/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vhM5AZXVVIsUOibUvQ/R2FKXEPj9O6mTt9iEpcuLS421GcW60PdilIz8I19T6JvN6274Osz/fCAPuubVU8sJ0tSestPUoNo0iASBwn0SBINw==
Resolución SBS N° 1747-2026,v1.0,Aprueban el Reglamento para la prestación de servicios bajo el modelo de Banking as a Service - BaaS,Resolución,Vigente,SF,03/07/2026,01/07/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sOkwRE1kKw4ie+PHtCtuT+6bP0toYMlaCPF9OGJzbP/WA+gAdfkeS3L1QmalVEDwR+NKD21m/j7IWeRx60pvVIapgd5cWI1NTvMOPiw3qKwA==
Resolución SBS N° 01681-2026,v1.0,"Modifican el Reglamento para la Supervisión Consolidada de los Conglomerados Financieros y Mixtos, aprobado mediante Resolución SBS Nº 11823-2010 y sus modificatorias",Resolución,Vigente,"SF, SS",30/06/2026,23/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vd6f2MlsKQumy6/YnG4U0N5l3T7MoX10JDelo4vnuZLxLICjR7Oyk2la0+iHggfZpNXIE7mZNd8FEgL5YdWE1tS4KArKNcmotI/kOOWNYNxw==
Resolución SBS N° 01682-2026,v1.0,"Modifican el Reporte N° 1 y crean el nuevo Reporte N° 1-A en el Capítulo V del Manual de Contabilidad para las Empresas del Sistema Financiero; asimismo, se estandariza la aplicación de dichos formatos para las EEDE y ETF, y se incorpora como nuevos requerimientos para las AGD y ETCAN",Resolución,Vigente,"SF, Otros",26/06/2026,23/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sVItRu7f/r2FwvhR8awjRXGHtWNVo5GmoldWMNQiwl8Pttp4bx1W+3puWFppN/xw23lrtGkw3I7moT7tTOK2q9yJNL/IaxArG/HboDNKkHFA==
Resolución SBS N° 1663-2026,v1.0,Adelanto del plazo máximo de presentación del Anexo 6 - RCD y modificación del formato del Reporte 29.,Resolución,Vigente,SF,23/06/2026,22/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vi7jcNgkIcLV8IBP9Ykht7DOyk+31z7JEivcI5hxAyOQYBPnQaIrezcEAozapRkty5aBxW/dytnZI+sujDEkCDI7XAACMcRfP8GnUEBlyb0A==
Resolución SBS N° 01586-2026,v1.0,Aprueban el Reglamento para la implementación y funcionamiento del Mecanismo de Identificación de Titularidades Financieras e incorporan infracciones en el Anexo 2 del Reglamento de Infracciones y Sanciones.,Resolución,Vigente,"SF, COOPAC, LA/FT_UIF",10/06/2026,09/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uWRTt8kn5i3WlxuzuvDiSFQdk3Z8wGZ0SUGxHzxfl+Sc5WDQ4BF7nbAKKiWeVKblnO0QENUZGB2Iqr6SZtwegssTJy+fzqSbL5xuUDAokijg==
"Circular B-2279-2026, F-617-2026, CM-466-2026, CR-333-2026",v1.0,Actualización del monto máximo de cobertura del Fondo de Seguro de Depósitos correspondiente al trimestre junio 2026 - agosto 2026,Circular,Vigente,SF,05/06/2026,03/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vHm3gGeLua6KQ5Qw7k8yn23PdEY/9IOTk6+kOs2iIRsd0OS6tqou4gj0db7MG8cLXAaXU26XYh4DDb4ssYRvwdVuxTewUaK6IUB7gzO01UvA==
Oficio Multiple N° 28487-2026,v1.0,Cumplimiento de la normativa externa sobre atención a personas con discapacidad.,Oficio múltiple,Vigente,SF,,11/05/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6voJsz7ca9fwe9E0Mu7JJATOtvjBh6m7TT3I1WXKznvpg1lfR4M01nhjNcqv0Cx4M3Hwh0tfUlLWbBOsJm7yvA2zfheg++NPxxq/GWxFa/QX4RIWmlcZP4wV16uX/Jzd0g=
