numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 01219-2026,v1.0,Aprueban la Guía de identificación y reporte de alertas aplicable a los sujetos obligados a informar a la UIF-Perú a que hace referencia el artículo 3 de la Ley N°29038 y dictan otras disposiciones,Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",24/04/2026,22/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tqG9iR/URv5XmCBPeftastkCDeOgCsTfR6TjZb3ofXxbBLM0UzNDpAZKSUbpUD+/r5p67/rWyzfPmxrxhZfNRl+hvM96Juu55s7G696NHaqP/16d8WU2j1aFuYb7/bhOc=
Resolución SBS N° 01015-2026,v1.0,Aprueban la Norma para la prevención del lavado de activos y del financiamiento del terrorismo aplicable a las personas jurídicas que explotan juegos de casino y/o máquinas tragamonedas; y modifican el TUPA de la Superintendencia de Banca Seguros y Administradoras Privadas de Fondos de Pensiones y diversas disposiciones.,Resolución,Vigente,"LA/FT_UIF, LA/FT_otros",08/04/2026,06/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vn16IJvxARVLI9sXVJI8UccYPPnjAR1TmzJo0dEbW2NabfygDw4ffW5Y+YUmy9cLGpjIqhe5Dh8Xkg0yk/qSPGMCBZ7YnBGeAW0QEzNlWIFg==
Resolucion SBS N° 03622-2025,v1.0,"Aprueban Norma para la prevención del lavado de activos y del financiamiento del terrorismo aplicable a las personas jurídicas que explotan juegos a distancia y/o apuestas deportivas a distancia bajo supervisión del Ministerio de Comercio Exterior y Turismo - MINCETUR, en materia de prevención del lavado de activos y del financiamiento del terrorismo.",Resolución,Vigente,"LA/FT_UIF, LA/FT_otros",14/10/2025,07/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6upoN8CCJV6NIDkL0c/KQ4yq4pPCZ0KKgoqfmZN+mJ7ekX4mdqZF4BEPvsu4L/m1zO+u6NnBP943lWvCeUeeAw8GSWYJtnS+lG0xeRwIXFMJA==
Resolución SBS N° 2868-2025,v1.0,Modifican el artículo 2 y el Anexo de la Norma sobre funciones y cargos ocupados por personas expuestas políticamente (PEP) en materia de prevención del lavado de activos y del financiamiento del terrorismo aprobada por la Resolución SBS N° 4349-2016.,Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",16/08/2025,14/08/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vJZNK/xy79MqGzwckOlbnEt/5Qs5Gki2v09UXWUvH2Sjs6ZAliFCBl8y2OLfhLy7Fj0ETmkqaYUn9KpbvlWlK1a4YPqMJGvfU1DpXVTmTjUMKwgzz6syCDtMC3iUJ5Ly78AwAJvxCrez78fq7mQI/o
Resolución SBS N° 00199-2025,v1.0,"Modifican la Norma sobre funciones y cargos ocupados por personas expuestas políticamente (PEP) en materia de prevención del lavado de activos y del financiamiento del terrorismo, aprobada mediante Resolución SBS N° 4349-2016.",Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",22/01/2025,20/01/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sm+QeDwFENnkhlmcDs7/tGSSga+0KZjvSFOYXMSVCzRhOTzpVflrpcmK7K1Rj7ly/CxKhezL2l38e7fau4DwEGyil+xSyMg0SxxwznTLTKWxbGjaUZgWcwwiEdCGsPEFI=
Resolución SBS N° 2351-2023,v1.0,"Modifican la Norma para la prevención del lavado de activos y del financiamiento del terrorismo aplicable a los sujetos obligados bajo supervisión de la UIF-Perú, en materia de prevención del lavado de activos y del financiamiento del terrorismo (Vigente a partir del 14.07.2023).",Resolución,Vigente,"LA/FT_UIF, LA/FT_otros",13/07/2023,12/07/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uQz0yX4KyAiw9+RCwiH7+VG/xzSCz6Cqk8gaUE6FltX2zwGNUc+7/7em93gZqyIVa/CM+5yUkWYhV3rLuESOjumW03CeA6QtdLvHVtzt+LvA==
Resolución SBS N° 2610-2021,v1.0,Modifican la Norma que regula los mecanismos y procedimientos para que la UIF-Perú congele administrativamente los fondos u otros activos de las personas o entidades vinculadas al terrorismo y al financiamiento del terrorismo así como de aquellas vinculadas a la proliferación de armas de destrucción masiva y su financiamiento.,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS, LA/FT_UIF, LA/FT_otros",07/09/2021,06/09/2021,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uWpaUqMEpZ3PESkDjtS7TdB1UB8CmmqbzcbNzGNtqCyuZqlodpQ7ErOMGk1olOG1G38x9nsc5MU1vm1OZGcCIi7EHABZiH7RZCQbF6CFWMLg==
Resolución SBS N° 2317-2020,v1.0,"Establecen imposición de sanciones no pecuniarias, así como medidas correctivas que correspondan en procedimientos administrativos sancionadores de la UIF-Perú y modifican el Reglamento de Infracciones y Sanciones en Materia de Prevención del Lavado de Activos y del Financiamiento del Terrorismo",Resolución,Vigente,"LA/FT_UIF, LA/FT_otros",28/09/2020,23/09/2020,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tIZzqZMzsnD8Ri7YBM2e3uqQ6dEajpba6bMJwmDZHKm5GN01NGfcIT6p1z2VbRsULMeItzOUHLaCjFdTZalWIT
Resolución SBS N° 3949-2019,v1.0,"Se aprueba la Plantilla ROSEL que deben utilizar sujetos obligados a informar a que se refieren la Ley N° 29038 y el D.S. N° 020-2017-JUS, para cumplir con su obligación de comunicar a la UIF-Perú y dictan otras disposiciones",Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_superv, LA/FT_otros, LA/FT_grles",04/09/2019,28/08/2019,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervrrfW9+k3RFlOmdRqFqa59Ugj6axxtafRsvGXdOl2K+eviNQLzc3SrMXJFPgFyU/A1NVebxcn9qzuA7spEnPRJQVEP/SwYLoOQ/sA79+4tMXQ==
Resolución SBS N° 2794-2019,v2.0,Establecen disposiciones para el envío de los Informes Semestrales del Oficial de Cumplimiento (ISOC) y del Informe Anual del Oficial de Cumplimiento (IAOC) a la UIF-Perú.,Resolución,Vigente,"LA/FT_UIF, LA/FT_otros",21/06/2019,19/06/2019,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervqk+2Ww6GtHOEq1jh5nJYkskDxvIQUwchFbSpLVFil9U0z/87a9zPjc4zdH8rJxEWqTTQWsmBWmeSiaSUZG060pGLZmR7lzcmaxtnFA6DBIPMj8dXjIZJBBSVjG2Ir3w6U=
