numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 01586-2026,v1.0,Aprueban el Reglamento para la implementación y funcionamiento del Mecanismo de Identificación de Titularidades Financieras e incorporan infracciones en el Anexo 2 del Reglamento de Infracciones y Sanciones.,Resolución,Vigente,"SF, COOPAC, LA/FT_UIF",10/06/2026,09/06/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uWRTt8kn5i3WlxuzuvDiSFQdk3Z8wGZ0SUGxHzxfl+Sc5WDQ4BF7nbAKKiWeVKblnO0QENUZGB2Iqr6SZtwegssTJy+fzqSbL5xuUDAokijg==
Resolución SBS N° 01219-2026,v1.0,Aprueban la Guía de identificación y reporte de alertas aplicable a los sujetos obligados a informar a la UIF-Perú a que hace referencia el artículo 3 de la Ley N°29038 y dictan otras disposiciones,Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",24/04/2026,22/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tqG9iR/URv5XmCBPeftastkCDeOgCsTfR6TjZb3ofXxbBLM0UzNDpAZKSUbpUD+/r5p67/rWyzfPmxrxhZfNRl+hvM96Juu55s7G696NHaqP/16d8WU2j1aFuYb7/bhOc=
Resolución SBS N° 01015-2026,v1.0,Aprueban la Norma para la prevención del lavado de activos y del financiamiento del terrorismo aplicable a las personas jurídicas que explotan juegos de casino y/o máquinas tragamonedas; y modifican el TUPA de la Superintendencia de Banca Seguros y Administradoras Privadas de Fondos de Pensiones y diversas disposiciones.,Resolución,Vigente,"LA/FT_UIF, LA/FT_otros",08/04/2026,06/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vn16IJvxARVLI9sXVJI8UccYPPnjAR1TmzJo0dEbW2NabfygDw4ffW5Y+YUmy9cLGpjIqhe5Dh8Xkg0yk/qSPGMCBZ7YnBGeAW0QEzNlWIFg==
Resolución SBS N° 03792-2025,v1.0,Establecen la vigencia de disposiciones referidas al intercambio de información de tipo operativo en el marco del Mecanismo Público Privado de Intercambio de Información Financiera del Perú (MEPIF).,Resolución,Vigente,"LA/FT_UIF, LA/FT_grles",24/10/2025,22/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6shm0pxPTYoXg0gUk3HowNHtAXYXD6DdHaG75PkfM2MUyjctoEAhCrjeN1UXMCiMv7aLxY1JxO6DO8Hda09RrfRw4DCNj9XFdfE4pulUmQbKA==
Resolucion SBS N° 03622-2025,v1.0,"Aprueban Norma para la prevención del lavado de activos y del financiamiento del terrorismo aplicable a las personas jurídicas que explotan juegos a distancia y/o apuestas deportivas a distancia bajo supervisión del Ministerio de Comercio Exterior y Turismo - MINCETUR, en materia de prevención del lavado de activos y del financiamiento del terrorismo.",Resolución,Vigente,"LA/FT_UIF, LA/FT_otros",14/10/2025,07/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6upoN8CCJV6NIDkL0c/KQ4yq4pPCZ0KKgoqfmZN+mJ7ekX4mdqZF4BEPvsu4L/m1zO+u6NnBP943lWvCeUeeAw8GSWYJtnS+lG0xeRwIXFMJA==
Resolución SBS N° 3012-2025,v1.0,Modifican las Instrucciones para el envío del Registro de Operaciones (RO) del OCP LA/FT respecto de la información de las operaciones de los Notarios a nivel nacional (Instructivo RO) bajo los alcances de la Resolución SBS N° 01754-2024 en el extremo referido a los testamentos y de los documentos privados (minutas) que no se hayan formalizado en instrumento público; aprobadas por el artículo 1 de la Resolución SBS N° 1139-2025,Resolución,Vigente,LA/FT_UIF,29/08/2025,27/08/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tkPAhu5ucjt5ZzJqbinghqThcjvK7vMSGMqMboVF2HYhKLHkcXYNee4gDckATrnkO0pXTUeijTEejkYlHmlr8Q9MKtyIrrAg+qtwK67B7kwn2u8AfIaabWZlZh4MZ6Nk3+fDQguK4LGOoHWs9u3jGO
Resolución SBS N° 2868-2025,v1.0,Modifican el artículo 2 y el Anexo de la Norma sobre funciones y cargos ocupados por personas expuestas políticamente (PEP) en materia de prevención del lavado de activos y del financiamiento del terrorismo aprobada por la Resolución SBS N° 4349-2016.,Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",16/08/2025,14/08/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vJZNK/xy79MqGzwckOlbnEt/5Qs5Gki2v09UXWUvH2Sjs6ZAliFCBl8y2OLfhLy7Fj0ETmkqaYUn9KpbvlWlK1a4YPqMJGvfU1DpXVTmTjUMKwgzz6syCDtMC3iUJ5Ly78AwAJvxCrez78fq7mQI/o
Resolución SBS N° 01139-2025,v2.0,"Norma que aprueba el Instructivo del Registro de Operaciones (RO) del OCP LA/FT de las operaciones de los Notarios a nivel nacional (Instructivo RO) bajo los alcances de la Res. SBS N° 01754-2024, dicta diversas disposiciones y realiza modificaciones.",Resolución,Vigente,LA/FT_UIF,27/03/2025,25/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6ubYvwfePVEJNSGrxoUpm5KM8rFPsF09RTBOZtH0vdcXKwHuL7Pe293hoOytYuVHBxO71+e3PQb+fDBANSz/+sSLbEk8qij2uvA64C1BU3tTR8kXYbfkRcnQsZ9z8bne5AMArCIV+Y+oxGk7tHUwsWgeMmRmDXls0apz4wocF5ciQ==
Resolución SBS N° 00199-2025,v1.0,"Modifican la Norma sobre funciones y cargos ocupados por personas expuestas políticamente (PEP) en materia de prevención del lavado de activos y del financiamiento del terrorismo, aprobada mediante Resolución SBS N° 4349-2016.",Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",22/01/2025,20/01/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sm+QeDwFENnkhlmcDs7/tGSSga+0KZjvSFOYXMSVCzRhOTzpVflrpcmK7K1Rj7ly/CxKhezL2l38e7fau4DwEGyil+xSyMg0SxxwznTLTKWxbGjaUZgWcwwiEdCGsPEFI=
Resolución SBS N° 2648-2024,v3.0,"Norma para la prevención del lavado de activos y del financiamiento del terrorismo aplicable a los Proveedores de Servicios de Activos Virtuales (PSAV) bajo supervisión de la UIF-Perú [El Capítulo VIII referido a la Regla de viaje entra en vigencia a los dos (2) años de la publicación la presente norma, es decir el 01/08/2026]",Resolución,Vigente,LA/FT_UIF,01/08/2024,30/07/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uTbJVwq2j7OB2Ejh7eXVe9ZVc2Kl3hzPzaWj7+hSM3LTha4F3Y2/t+3Z8kgcbFaBkxU357vGy1t2WVEsUM7SgaB7jVMru+deDg6+l0rbxE8fJ1uS9UhfRyOCcKImIHA9c=
Resolución SBS N° 1076-2024,v1.0,Modifican la Norma que regula el procedimiento de atención de las solicitudes de levantamiento del secreto bancario aprobada por Resolución SBS Nº1132-2015 y dictan diversas disposiciones,Resolución,Vigente,LA/FT_UIF,26/03/2024,22/03/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uWNkMCg3HTu+XWlmTx1YjDE9eLBn+UeeBvxc+ofCpcUspSclK4YxWbpXgg3Zs6NIGPyOZj0fO9NVxpPiBwloLPURI0e35No8CRzviKIADZXQ==
Resolución SBS N° 650-2024,v1.0,"Aprueban la Norma del Registro de Empresas y Personas que efectúan Operaciones Financieras o de Cambio de Moneda, supervisadas en materia de prevención del lavado de activos y del financiamiento del terrorismo por la Superintendencia de Banca, Seguros y AFP, a través de la Unidad de Inteligencia Financiera del Perú; modifican TUPA y dictan diversas disposiciones.",Resolución,Vigente,LA/FT_UIF,26/02/2024,22/02/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tb3m5Sx0dGNaBATxHUZvEuqWuyJgHAGSB1kUg1Vj/p4SswyAjh+e4/f5doA2u/nJ/wMBloIQbMmIgLkgxdUffsq+FKXOt9le6HxUcnKOHtjg==
Resolución SBS N° 2351-2023,v1.0,"Modifican la Norma para la prevención del lavado de activos y del financiamiento del terrorismo aplicable a los sujetos obligados bajo supervisión de la UIF-Perú, en materia de prevención del lavado de activos y del financiamiento del terrorismo (Vigente a partir del 14.07.2023).",Resolución,Vigente,"LA/FT_UIF, LA/FT_otros",13/07/2023,12/07/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uQz0yX4KyAiw9+RCwiH7+VG/xzSCz6Cqk8gaUE6FltX2zwGNUc+7/7em93gZqyIVa/CM+5yUkWYhV3rLuESOjumW03CeA6QtdLvHVtzt+LvA==
