numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 01219-2026,v1.0,Aprueban la Guía de identificación y reporte de alertas aplicable a los sujetos obligados a informar a la UIF-Perú a que hace referencia el artículo 3 de la Ley N°29038 y dictan otras disposiciones,Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",24/04/2026,22/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tqG9iR/URv5XmCBPeftastkCDeOgCsTfR6TjZb3ofXxbBLM0UzNDpAZKSUbpUD+/r5p67/rWyzfPmxrxhZfNRl+hvM96Juu55s7G696NHaqP/16d8WU2j1aFuYb7/bhOc=
Resolución SBS N° 1029-2026,v1.0,Modifican el Reglamento de Infracciones y Sanciones de la Superintendencia de Banca Seguros y Administradoras Privadas de Fondos de Pensiones.,Resolución,Vigente,"SF, SS, SPP, COOPAC, LA/FT_SBS",10/04/2026,08/04/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vJTDguJSaJkiOj1Y4yvEQV+VQ1PQuvvqxOFlb6HVGCmPUSTkxh6Che6kn7TPYq+TkIi7tJzhrIEdsYGIn0fBdFct3RJ6PzGHaCvqlGock84Q==
Resolución SBS N° 2868-2025,v1.0,Modifican el artículo 2 y el Anexo de la Norma sobre funciones y cargos ocupados por personas expuestas políticamente (PEP) en materia de prevención del lavado de activos y del financiamiento del terrorismo aprobada por la Resolución SBS N° 4349-2016.,Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",16/08/2025,14/08/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vJZNK/xy79MqGzwckOlbnEt/5Qs5Gki2v09UXWUvH2Sjs6ZAliFCBl8y2OLfhLy7Fj0ETmkqaYUn9KpbvlWlK1a4YPqMJGvfU1DpXVTmTjUMKwgzz6syCDtMC3iUJ5Ly78AwAJvxCrez78fq7mQI/o
Resolución SBS N° 00199-2025,v1.0,"Modifican la Norma sobre funciones y cargos ocupados por personas expuestas políticamente (PEP) en materia de prevención del lavado de activos y del financiamiento del terrorismo, aprobada mediante Resolución SBS N° 4349-2016.",Resolución,Vigente,"LA/FT_SBS, LA/FT_UIF, LA/FT_otros",22/01/2025,20/01/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sm+QeDwFENnkhlmcDs7/tGSSga+0KZjvSFOYXMSVCzRhOTzpVflrpcmK7K1Rj7ly/CxKhezL2l38e7fau4DwEGyil+xSyMg0SxxwznTLTKWxbGjaUZgWcwwiEdCGsPEFI=
Resolución SBS N° 3141-2024,v2.0,"Aprueban la Norma que regula los servicios que brinda la SBS a los ciudadanos y la atención de denuncias contra las empresas supervisadas, y modifican el TUPA de la Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensiones.",Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT, LA/FT_SBS",09/09/2024,06/09/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6twbgP3zQ3E9CWdAI/3FIkK1k/cROb8TnK1a/eagQZfpILdVxJnVpEornpPLnfbGZCfhZU8c1TzD/MnSwzngefw
Resolución SBS N° 3348-2022,v3.0,"Modifican el inciso e) del artículo 3 e incluir el artículo 8 a la Norma que regula el procedimiento de atención de las solicitudes de levantamiento del secreto bancario, aprobada por Resolución SBS N° 1132-2015.",Resolución,Vigente,"SF, LA/FT_SBS",08/11/2022,04/11/2022,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6ttdj7411VjN4TJgyAxrKv8Ppct36+tI7VU9NO3S9oMezd7nVeU0ce4VgbFobUmfcqnl19eWcNeYxupvdLxWfb1IWlhGkGajBlczDimuG2RvA==
Resolución SBS N° 3347-2022,v1.0,Incorporan Octava Disposición Final en el Reglamento de Auditoría Externa aprobado por la Resolución SBS N° 17026-2010 y sus modificatorias,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",07/11/2022,04/11/2022,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6s/dP3T/lgp1HJ/mrL7fWm5HM+/cRt7zP8p55uE/nnhFaiBM1e/oMLh03Yg4TZy90vl/WPMOE2qqg2AM7Z2HLeGlL9RjWEWW+Z0RIMMrChudA==
Resolución SBS N° 2610-2021,v1.0,Modifican la Norma que regula los mecanismos y procedimientos para que la UIF-Perú congele administrativamente los fondos u otros activos de las personas o entidades vinculadas al terrorismo y al financiamiento del terrorismo así como de aquellas vinculadas a la proliferación de armas de destrucción masiva y su financiamiento.,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS, LA/FT_UIF, LA/FT_otros",07/09/2021,06/09/2021,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uWpaUqMEpZ3PESkDjtS7TdB1UB8CmmqbzcbNzGNtqCyuZqlodpQ7ErOMGk1olOG1G38x9nsc5MU1vm1OZGcCIi7EHABZiH7RZCQbF6CFWMLg==
Resolución SBS N° 3292-2020,v1.0,Modifican el artículo 1 de la Resolución SBS N° 1743-2020.,Resolución,Vigente,LA/FT_SBS,30/12/2020,29/12/2020,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tlPwioS/ltlrnPX3/ySK7cexW6iE8oK3ULxH//uT5Edoko1uHpOVnderDaN6NI5vS/ImL2oLaRodxfVBcxPqnd6Q+1GsoGwyMjDkR520+9rA==
Resolución SBS Nº 1743-2020,v2.0,Modifican la Resolución SBS Nº 3329- 2019 y el Reglamento de Gestión de Riesgos de Lavado de Activos y del Financiamiento del Terrorismo aprobado por Resolución SBS Nº2660-2015.,Resolución,Vigente,"SF, SS, SPP, LA/FT_SBS",01/07/2020,30/06/2020,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66PIwO9B2GmahyzPxCppervrgYAHQj7Eut6RDXWwsipQV4Ow3nZrneBIjz9KclzMNJIwemOuwvcFkAOzcssWZwvfBW3CwIwY7TkEEBBOk9HTkgwO36UBUzxMgeqCss7Bfkw==
